Date,Open,High,Low,Close,Volume,Adj Close
2008-03-26,640.00,668.40,624.60,659.10,2515400,593.20
2008-03-25,600.50,643.00,600.00,638.00,1825400,574.21
2008-03-24,650.00,650.00,573.50,591.00,2258800,531.91
2008-03-19,652.05,667.00,635.00,635.00,2259500,571.51
2008-03-18,650.10,674.00,630.00,630.45,2175600,567.42
2008-03-17,690.00,699.95,651.10,652.00,2269600,586.81
2008-03-14,705.00,728.50,700.00,714.00,2677100,642.62
2008-03-13,765.00,765.00,691.20,697.00,2953000,627.32
2008-03-12,825.00,830.00,761.00,768.00,2581500,691.22
2008-03-11,807.80,831.80,801.20,816.10,2469900,734.51
2008-03-10,765.00,819.00,744.25,811.00,2506500,729.92
2008-03-07,790.00,796.40,761.25,771.00,1774500,693.92
2008-03-05,783.90,803.70,778.20,803.00,1856500,722.72
2008-03-04,784.95,792.00,756.45,779.55,2314200,701.61
2008-03-03,785.10,803.70,764.00,768.00,1731700,691.22
2008-02-29,829.90,829.90,779.25,800.00,2751400,720.02
2008-02-28,818.40,829.00,807.00,824.00,1995300,741.62
2008-02-27,820.00,833.90,807.10,810.00,2088500,729.02
2008-02-26,810.00,820.70,802.25,806.40,1970000,725.78
2008-02-25,804.70,812.00,778.05,808.80,1733400,727.94
2008-02-22,792.70,817.50,792.70,794.60,2098000,715.16
2008-02-21,780.00,810.00,780.00,809.50,1753000,728.57
2008-02-20,765.10,817.00,765.10,774.00,1639800,696.62
2008-02-19,829.90,837.00,810.00,811.00,1370100,729.92
2008-02-18,824.40,846.00,808.25,821.00,2363900,738.92
2008-02-15,765.00,821.10,765.00,819.65,2298000,737.70
2008-02-14,779.00,790.70,769.00,781.00,1403900,702.92
2008-02-13,727.70,762.40,719.00,761.90,1814900,685.73
2008-02-12,732.00,749.00,702.00,708.15,1105200,637.35
2008-02-11,730.10,752.00,714.10,717.00,1047900,645.32
2008-02-08,782.00,782.00,741.65,748.00,1128900,673.22
2008-02-07,795.00,814.60,765.10,767.40,1684600,690.68
2008-02-06,790.00,818.00,786.25,796.00,1651400,716.42
2008-02-05,804.00,821.00,778.50,817.60,2395400,735.86
2008-02-04,777.00,816.95,777.00,806.00,2096800,725.42
2008-02-01,740.00,781.00,738.05,775.10,2181600,697.61
2008-01-31,726.00,745.40,692.90,735.00,2415800,661.52
2008-01-30,716.00,740.00,710.05,722.10,1350500,649.91
