Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-August-2010,2849.90,2855.40,2810.00,2820.25,2827.992509520257263474,357921,13712,1012197907.00,59190,16.54,45.40,-29.65
13-August-2010,2790.00,2879.95,2780.00,2849.40,2852.047881732158448960,1084589,42978,3093299760.00,272382,25.11,99.95,59.40
12-August-2010,2595.00,2797.80,2580.50,2784.00,2726.587632883221029821,2337861,86172,6374382890.00,451599,19.32,217.30,189.00
11-August-2010,2631.65,2646.00,2599.10,2603.60,2618.377630790363575118,228591,10208,598537561.00,21605,9.45,46.90,-28.05
10-August-2010,2645.00,2674.40,2622.00,2631.65,2649.743441132436756645,311258,11653,824753844.00,78881,25.34,52.40,-13.35
9-August-2010,2621.00,2655.00,2617.00,2649.35,2643.072323358118750228,218408,7876,577268140.00,68225,31.24,38.00,28.35
6-August-2010,2615.00,2653.00,2605.55,2620.00,2628.970811290391086235,211897,10432,557071028.00,23639,11.16,47.45,5.00
5-August-2010,2595.00,2663.00,2592.25,2646.35,2641.715351221492163371,485349,21662,1282153904.00,86339,17.79,70.75,51.35
4-August-2010,2600.00,2603.05,2571.85,2594.50,2587.466421865672991697,276415,11223,715214531.00,72675,26.29,31.20,-5.50
3-August-2010,2600.00,2616.40,2578.00,2603.05,2601.659908376277756064,496378,17526,1291406742.00,185029,37.28,38.40,3.05
2-August-2010,2520.00,2599.90,2511.00,2581.10,2558.880405396909225797,397635,18812,1017500410.00,92535,23.27,88.90,61.10
30-July-2010,2465.00,2519.90,2450.50,2503.80,2502.803854780797021144,563975,20234,1411518804.00,218061,38.67,69.40,38.80
29-July-2010,2465.00,2478.80,2440.00,2473.20,2460.181767505469104206,403631,10667,993005627.00,203417,50.40,38.80,8.20
28-July-2010,2448.00,2476.40,2423.90,2470.85,2457.516439224583764305,299710,12550,736542252.00,85398,28.49,52.50,22.85
27-July-2010,2405.55,2445.75,2401.00,2435.00,2426.509750297265160523,513010,21752,1244823767.00,61548,12.00,44.75,29.45
26-July-2010,2460.60,2504.00,2402.00,2408.85,2431.576427403859940925,348710,13551,847915016.00,98301,28.19,102.00,-51.75
23-July-2010,2480.00,2504.00,2460.00,2494.70,2492.289705042917882539,374902,16099,934364395.00,120644,32.18,44.00,14.70
22-July-2010,2429.00,2490.00,2416.80,2477.25,2458.832158713957642255,391900,15058,963616323.00,67244,17.16,73.20,48.25
21-July-2010,2458.70,2458.70,2434.50,2437.15,2443.045000037789752930,132311,5851,323241727.00,16263,12.29,24.20,-21.55
20-July-2010,2465.00,2465.95,2440.05,2448.45,2451.497940771190811605,129903,5871,318456937.00,25438,19.58,25.90,-16.55
19-July-2010,2420.00,2465.00,2405.55,2456.15,2449.068455197307448417,205010,8453,502083524.00,53125,25.91,59.45,36.15
16-July-2010,2440.00,2463.70,2429.00,2441.15,2447.323541643731728499,163506,7898,400152083.00,23292,14.25,34.70,1.15
15-July-2010,2458.00,2470.00,2434.00,2439.45,2445.110894255710292377,238254,9946,582557451.00,46855,19.67,36.00,-18.55
14-July-2010,2445.00,2477.70,2440.00,2464.35,2464.717445072130421811,415636,12655,1024425300.00,171149,41.18,37.70,19.35
13-July-2010,2400.00,2435.00,2394.00,2428.05,2421.371131548870220229,429597,13329,1040213774.00,205694,47.88,41.00,28.05
12-July-2010,2375.00,2410.70,2370.00,2399.55,2394.549042465595754916,338839,14153,811366603.00,83476,24.64,40.70,24.55
9-July-2010,2363.80,2377.00,2360.00,2368.85,2370.964384889401427009,282689,11975,670245551.00,131734,46.60,17.00,5.05
8-July-2010,2323.00,2364.00,2318.00,2356.75,2353.994143142651274604,453827,16278,1068306100.00,142475,31.39,46.00,33.75
7-July-2010,2313.00,2318.00,2290.00,2303.95,2304.001836779934762643,221039,10637,509274262.00,21539,9.74,28.00,-9.05
6-July-2010,2275.00,2319.80,2271.20,2313.00,2301.163418248668117355,319848,10897,736022517.00,111125,34.74,48.60,38.00
5-July-2010,2265.00,2293.95,2262.50,2272.60,2278.403541222673475679,149214,7163,339969706.00,26259,17.60,31.45,7.60
2-July-2010,2262.00,2310.00,2257.20,2265.25,2268.065166671588833151,237023,9785,537583610.00,49914,21.06,52.80,3.25
1-July-2010,2290.00,2296.00,2254.40,2261.80,2265.988053776336945307,381878,13843,865330986.00,123962,32.46,41.60,-28.20
30-June-2010,2285.00,2310.35,2275.00,2302.10,2299.698821846212242871,342485,12522,787612351.00,81226,23.72,35.35,17.10
29-June-2010,2335.85,2335.85,2285.00,2294.90,2302.649526191736014238,415780,18640,957395620.00,23858,5.74,50.85,-40.95
